"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"2001-10-01 00:00:00",100.3468
"2001-11-01 00:00:00",100.4074
"2001-12-01 00:00:00",100.5883
"2002-01-01 00:00:00",100.751
"2002-02-01 00:00:00",100.8696
"2002-03-01 00:00:00",100.9689
"2002-04-01 00:00:00",100.992
"2002-05-01 00:00:00",100.9749
"2002-06-01 00:00:00",100.8579
"2002-07-01 00:00:00",100.7036
"2002-08-01 00:00:00",100.5567
"2002-09-01 00:00:00",100.4163
"2002-10-01 00:00:00",100.2673
"2002-11-01 00:00:00",100.1655
"2002-12-01 00:00:00",100.0289
"2003-01-01 00:00:00",99.83041
"2003-02-01 00:00:00",99.65916
"2003-03-01 00:00:00",99.64631
"2003-04-01 00:00:00",99.88135
"2003-05-01 00:00:00",100.1462
"2003-06-01 00:00:00",100.3067
"2003-07-01 00:00:00",100.3714
"2003-08-01 00:00:00",100.3653
"2003-09-01 00:00:00",100.3741
"2003-10-01 00:00:00",100.4439
"2003-11-01 00:00:00",100.5717
"2003-12-01 00:00:00",100.7066
"2004-01-01 00:00:00",100.845
"2004-02-01 00:00:00",100.8333
"2004-03-01 00:00:00",100.7946
"2004-04-01 00:00:00",100.7594
"2004-05-01 00:00:00",100.739
"2004-06-01 00:00:00",100.7797
"2004-07-01 00:00:00",100.8351
"2004-08-01 00:00:00",100.8376
"2004-09-01 00:00:00",100.8138
"2004-10-01 00:00:00",100.8185
"2004-11-01 00:00:00",100.8714
"2004-12-01 00:00:00",100.9603
"2005-01-01 00:00:00",101.0316
"2005-02-01 00:00:00",101.0141
"2005-03-01 00:00:00",100.8883
"2005-04-01 00:00:00",100.7477
"2005-05-01 00:00:00",100.6908
"2005-06-01 00:00:00",100.7278
"2005-07-01 00:00:00",100.6919
"2005-08-01 00:00:00",100.494
"2005-09-01 00:00:00",100.2536
"2005-10-01 00:00:00",100.2353
"2005-11-01 00:00:00",100.4563
"2005-12-01 00:00:00",100.7645
"2006-01-01 00:00:00",100.9785
"2006-02-01 00:00:00",101.0259
"2006-03-01 00:00:00",100.9915
"2006-04-01 00:00:00",100.8917
"2006-05-01 00:00:00",100.7259
"2006-06-01 00:00:00",100.6367
"2006-07-01 00:00:00",100.6152
"2006-08-01 00:00:00",100.6462
"2006-09-01 00:00:00",100.7894
"2006-10-01 00:00:00",100.9903
"2006-11-01 00:00:00",101.0982
"2006-12-01 00:00:00",101.1447
"2007-01-01 00:00:00",101.1491
"2007-02-01 00:00:00",101.0869
"2007-03-01 00:00:00",101.0093
"2007-04-01 00:00:00",100.9848
"2007-05-01 00:00:00",100.9999
"2007-06-01 00:00:00",100.9755
"2007-07-01 00:00:00",100.9354
"2007-08-01 00:00:00",100.7909
"2007-09-01 00:00:00",100.6
"2007-10-01 00:00:00",100.3646
"2007-11-01 00:00:00",100.0931
"2007-12-01 00:00:00",99.8819
"2008-01-01 00:00:00",99.66396
"2008-02-01 00:00:00",99.35947
"2008-03-01 00:00:00",98.99306
"2008-04-01 00:00:00",98.53928
"2008-05-01 00:00:00",98.09245
"2008-06-01 00:00:00",97.74142
"2008-07-01 00:00:00",97.63179
"2008-08-01 00:00:00",97.71244
"2008-09-01 00:00:00",97.72511
"2008-10-01 00:00:00",97.46777
"2008-11-01 00:00:00",97.23262
"2008-12-01 00:00:00",97.10434
"2009-01-01 00:00:00",97.04643
"2009-02-01 00:00:00",97.0603
"2009-03-01 00:00:00",97.28937
"2009-04-01 00:00:00",97.74133
"2009-05-01 00:00:00",98.1892
"2009-06-01 00:00:00",98.52265
"2009-07-01 00:00:00",98.73884
"2009-08-01 00:00:00",98.94154
"2009-09-01 00:00:00",99.15635
"2009-10-01 00:00:00",99.25497
"2009-11-01 00:00:00",99.28886
"2009-12-01 00:00:00",99.35441
"2010-01-01 00:00:00",99.42738
"2010-02-01 00:00:00",99.44772
"2010-03-01 00:00:00",99.44507
"2010-04-01 00:00:00",99.42326
"2010-05-01 00:00:00",99.37529
"2010-06-01 00:00:00",99.32864
"2010-07-01 00:00:00",99.27653
"2010-08-01 00:00:00",99.29092
"2010-09-01 00:00:00",99.31432
"2010-10-01 00:00:00",99.35305
"2010-11-01 00:00:00",99.42735
"2010-12-01 00:00:00",99.45947
"2011-01-01 00:00:00",99.42066
"2011-02-01 00:00:00",99.31566
"2011-03-01 00:00:00",99.09447
"2011-04-01 00:00:00",98.9641
"2011-05-01 00:00:00",98.95348
"2011-06-01 00:00:00",98.87176
"2011-07-01 00:00:00",98.64677
"2011-08-01 00:00:00",98.3825
"2011-09-01 00:00:00",98.2787
"2011-10-01 00:00:00",98.29195
"2011-11-01 00:00:00",98.41705
"2011-12-01 00:00:00",98.59006
"2012-01-01 00:00:00",98.78458
"2012-02-01 00:00:00",98.92448
"2012-03-01 00:00:00",98.98802
"2012-04-01 00:00:00",98.98595
"2012-05-01 00:00:00",98.95184
"2012-06-01 00:00:00",98.86478
"2012-07-01 00:00:00",98.82035
"2012-08-01 00:00:00",98.82435
"2012-09-01 00:00:00",98.86546
"2012-10-01 00:00:00",98.92044
"2012-11-01 00:00:00",98.9267
"2012-12-01 00:00:00",98.87986
"2013-01-01 00:00:00",98.94606
"2013-02-01 00:00:00",99.06009
"2013-03-01 00:00:00",99.16817
"2013-04-01 00:00:00",99.27468
"2013-05-01 00:00:00",99.4178
"2013-06-01 00:00:00",99.54541
"2013-07-01 00:00:00",99.65111
"2013-08-01 00:00:00",99.66987
"2013-09-01 00:00:00",99.62282
"2013-10-01 00:00:00",99.55148
"2013-11-01 00:00:00",99.57515
"2013-12-01 00:00:00",99.6543
"2014-01-01 00:00:00",99.70489
"2014-02-01 00:00:00",99.75085
"2014-03-01 00:00:00",99.83844
"2014-04-01 00:00:00",99.94589
"2014-05-01 00:00:00",99.99653
"2014-06-01 00:00:00",100.009
"2014-07-01 00:00:00",99.98838
"2014-08-01 00:00:00",99.97462
"2014-09-01 00:00:00",99.98804
"2014-10-01 00:00:00",100.0388
"2014-11-01 00:00:00",100.1403
"2014-12-01 00:00:00",100.3174
"2015-01-01 00:00:00",100.5154
"2015-02-01 00:00:00",100.6486
"2015-03-01 00:00:00",100.7077
"2015-04-01 00:00:00",100.7062
"2015-05-01 00:00:00",100.6405
"2015-06-01 00:00:00",100.5912
"2015-07-01 00:00:00",100.4872
"2015-08-01 00:00:00",100.4052
"2015-09-01 00:00:00",100.3839
"2015-10-01 00:00:00",100.4909
"2015-11-01 00:00:00",100.6241
"2015-12-01 00:00:00",100.6663
"2016-01-01 00:00:00",100.5986
"2016-02-01 00:00:00",100.4916
"2016-03-01 00:00:00",100.428
"2016-04-01 00:00:00",100.4299
"2016-05-01 00:00:00",100.4783
"2016-06-01 00:00:00",100.4677
"2016-07-01 00:00:00",100.392
"2016-08-01 00:00:00",100.3792
"2016-09-01 00:00:00",100.415
"2016-10-01 00:00:00",100.4495
"2016-11-01 00:00:00",100.5163
"2016-12-01 00:00:00",100.5713
"2017-01-01 00:00:00",100.5688
"2017-02-01 00:00:00",100.5956
"2017-03-01 00:00:00",100.6951
"2017-04-01 00:00:00",100.8
"2017-05-01 00:00:00",100.8686
"2017-06-01 00:00:00",100.8916
"2017-07-01 00:00:00",100.9229
"2017-08-01 00:00:00",100.9862
"2017-09-01 00:00:00",101.0589
"2017-10-01 00:00:00",101.1421
"2017-11-01 00:00:00",101.166
"2017-12-01 00:00:00",101.1592
"2018-01-01 00:00:00",101.1595
"2018-02-01 00:00:00",101.1771
"2018-03-01 00:00:00",101.1865
"2018-04-01 00:00:00",101.1759
"2018-05-01 00:00:00",101.1722
"2018-06-01 00:00:00",101.1885
"2018-07-01 00:00:00",101.2067
"2018-08-01 00:00:00",101.1545
"2018-09-01 00:00:00",101.0792
"2018-10-01 00:00:00",100.9849
"2018-11-01 00:00:00",100.8796
"2018-12-01 00:00:00",100.8036
"2019-01-01 00:00:00",100.7776
"2019-02-01 00:00:00",100.8423
"2019-03-01 00:00:00",100.9179
"2019-04-01 00:00:00",100.9305
"2019-05-01 00:00:00",100.8992
"2019-06-01 00:00:00",100.8067
"2019-07-01 00:00:00",100.6842
"2019-08-01 00:00:00",100.5391
"2019-09-01 00:00:00",100.5168
"2019-10-01 00:00:00",100.5845
"2019-11-01 00:00:00",100.7202
"2019-12-01 00:00:00",100.8214
"2020-01-01 00:00:00",100.7527
"2020-02-01 00:00:00",100.2719
"2020-03-01 00:00:00",99.24253
"2020-04-01 00:00:00",98.14558
"2020-05-01 00:00:00",97.80631
"2020-06-01 00:00:00",98.00853
"2020-07-01 00:00:00",98.28136
"2020-08-01 00:00:00",98.52856
"2020-09-01 00:00:00",98.73714
"2020-10-01 00:00:00",98.8196
"2020-11-01 00:00:00",98.84012
"2020-12-01 00:00:00",98.96058
"2021-01-01 00:00:00",99.10358
"2021-02-01 00:00:00",99.37794
"2021-03-01 00:00:00",99.77849
"2021-04-01 00:00:00",100.0948
"2021-05-01 00:00:00",100.3298
"2021-06-01 00:00:00",100.4735
"2021-07-01 00:00:00",100.377
"2021-08-01 00:00:00",100.1457
"2021-09-01 00:00:00",99.98586
"2021-10-01 00:00:00",99.80708
"2021-11-01 00:00:00",99.58765
"2021-12-01 00:00:00",99.35405
"2022-01-01 00:00:00",99.02439
"2022-02-01 00:00:00",98.56471
"2022-03-01 00:00:00",98.02439
"2022-04-01 00:00:00",97.63383
"2022-05-01 00:00:00",97.26578
"2022-06-01 00:00:00",96.90141
"2022-07-01 00:00:00",96.70377
"2022-08-01 00:00:00",96.70919
"2022-09-01 00:00:00",96.73022
"2022-10-01 00:00:00",96.82491
"2022-11-01 00:00:00",96.99915
"2022-12-01 00:00:00",97.26089
"2023-01-01 00:00:00",97.55677
"2023-02-01 00:00:00",97.80207
"2023-03-01 00:00:00",97.9735
"2023-04-01 00:00:00",98.18362
"2023-05-01 00:00:00",98.37179
"2023-06-01 00:00:00",98.54954
"2023-07-01 00:00:00",98.62938
"2023-08-01 00:00:00",98.53031
"2023-09-01 00:00:00",98.37067
"2023-10-01 00:00:00",98.26917
"2023-11-01 00:00:00",98.37761
"2023-12-01 00:00:00",98.69976
"2024-01-01 00:00:00",99.04173
"2024-02-01 00:00:00",99.22816
"2024-03-01 00:00:00",99.28737
"2024-04-01 00:00:00",99.21394
"2024-05-01 00:00:00",99.07491
"2024-06-01 00:00:00",98.99796
"2024-07-01 00:00:00",98.97776
"2024-08-01 00:00:00",99.01299
"2024-09-01 00:00:00",99.08347
"2024-10-01 00:00:00",99.15253
"2024-11-01 00:00:00",99.16321
"2024-12-01 00:00:00",99.09758
"2025-01-01 00:00:00",98.93461
"2025-02-01 00:00:00",98.67226
"2025-03-01 00:00:00",98.37609
"2025-04-01 00:00:00",98.1907
"2025-05-01 00:00:00",98.26288
"2025-06-01 00:00:00",98.45773
"2025-07-01 00:00:00",98.57726
"2025-08-01 00:00:00",98.58221
"2025-09-01 00:00:00",98.5248
"2025-10-01 00:00:00",98.47578
"2025-11-01 00:00:00",98.46424
"2025-12-01 00:00:00",98.52937
"2026-01-01 00:00:00",98.65191
